Word,Occurrences,TotalSteps,AverageSteps
truer,1,1,1.0000
showing,11,11,1.0000
librarians,1,2,2.0000
disquiet,1,1,1.0000
tire,3,3,1.0000
unprotected,1,1,1.0000
favorite,25,25,1.0000
division,1,1,1.0000
buoyancy,1,1,1.0000
eer,1,1,1.0000
bonbons,3,3,1.0000
agitated,3,6,2.0000
happiest,10,10,1.0000
breasts,2,4,2.0000
enfant,1,3,3.0000
complaints,2,2,1.0000
gloom,3,6,2.0000
bitter,24,24,1.0000
feather,3,3,1.0000
pilgrim,3,3,1.0000
ocean,2,4,2.0000
managed,10,10,1.0000
contribution,2,2,1.0000
bitten,1,2,2.0000
sprawled,1,3,3.0000
bridling,1,1,1.0000
dragged,4,4,1.0000
buttonhole,3,6,2.0000
ripen,3,9,3.0000
hobby,1,4,4.0000
statuesque,1,5,5.0000
convert,1,1,1.0000
waters,1,1,1.0000
silk,30,30,1.0000
tending,1,2,2.0000
posture,1,1,1.0000
lauries,49,49,1.0000
orders,7,14,2.0000
duties,10,10,1.0000
liveliest,2,2,1.0000
manager,1,2,2.0000
oppress,2,2,1.0000
rakish,1,2,2.0000
manages,1,3,3.0000
wheedlesome,4,4,1.0000
pondering,1,2,2.0000
rhythmic,1,3,3.0000
moaned,1,1,1.0000
beach,3,3,1.0000
preposterous,1,2,2.0000
unfitted,1,1,1.0000
twelve,13,13,1.0000
healths,1,2,2.0000
urged,2,2,1.0000
stirring,3,3,1.0000
nymph,1,2,2.0000
bearlike,1,1,1.0000
sweep,4,4,1.0000
sword,3,3,1.0000
healthy,6,12,2.0000
swore,1,1,1.0000
usurper,1,2,2.0000
circumspection,1,3,3.0000
unexpected,12,12,1.0000
indulging,1,2,2.0000
sweet,69,69,1.0000
ornaments,6,6,1.0000
turban,1,1,1.0000
droning,1,1,1.0000
console,7,7,1.0000
sworn,1,2,2.0000
bills,5,5,1.0000
greatcoat,4,8,2.0000
lovelornity,3,3,1.0000
christmas,38,38,1.0000
implored,3,6,2.0000
elephants,1,3,3.0000
pertinaciously,1,1,1.0000
managing,2,2,1.0000
jacket,3,6,2.0000
gypsies,1,3,3.0000
weather,18,18,1.0000
announce,1,1,1.0000
gesture,15,30,2.0000
terms,3,9,3.0000
indolence,1,1,1.0000
esteemed,1,1,1.0000
owing,2,4,2.0000
borrow,7,7,1.0000
theory,3,6,2.0000
beads,3,3,1.0000
boyish,16,16,1.0000
household,12,12,1.0000
sing,17,34,2.0000
equestrian,1,3,3.0000
potions,3,3,1.0000
patted,3,6,2.0000
games,4,4,1.0000
curiosity,14,28,2.0000
chateau,5,15,3.0000
ittle,1,1,1.0000
sink,1,1,1.0000
climb,5,5,1.0000
upholsterer,1,2,2.0000
wonderschones,1,1,1.0000
resentment,2,2,1.0000
ninepence,1,2,2.0000
ponies,5,5,1.0000
array,8,8,1.0000
wardrobes,1,2,2.0000
neatly,4,12,3.0000
undiminished,1,4,4.0000
reveries,1,5,5.0000
crayon,2,2,1.0000
sins,8,8,1.0000
friendliest,3,6,2.0000
shoulders,19,19,1.0000
prevoking,1,2,2.0000
haunting,1,1,1.0000
style,27,27,1.0000
oui,1,1,1.0000
tiresome,2,2,1.0000
caricatures,2,4,2.0000
misses,3,3,1.0000
involuntarily,4,4,1.0000
insinuatingly,1,1,1.0000
wouldnt,94,94,1.0000
subjected,1,2,2.0000
our,151,151,1.0000
admirers,2,2,1.0000
out,484,484,1.0000
commisary,1,2,2.0000
rosary,5,15,3.0000
belles,2,2,1.0000
refusing,2,4,2.0000
untoward,1,1,1.0000
usually,17,17,1.0000
glory,4,8,2.0000
uncommonly,7,21,3.0000
disconsolately,1,1,1.0000
allegory,1,2,2.0000
catastrophe,1,1,1.0000
missed,11,11,1.0000
hurrying,4,4,1.0000
argue,2,4,2.0000
irresistibly,2,2,1.0000
sonorous,1,1,1.0000
boxes,6,6,1.0000
cling,3,6,2.0000
ein,1,1,1.0000
nests,2,2,1.0000
crackers,1,1,1.0000
cruel,10,10,1.0000
indignantly,5,10,2.0000
speculating,1,3,3.0000
opinion,14,14,1.0000
outright,5,10,2.0000
neighborhood,5,15,3.0000
mankind,3,12,4.0000
first,157,157,1.0000
beaten,3,3,1.0000
wander,2,2,1.0000
authority,1,2,2.0000
bothering,2,2,1.0000
coiffure,1,1,1.0000
browsed,1,1,1.0000
naughties,1,2,2.0000
novice,1,3,3.0000
gloss,1,4,4.0000
irresistible,6,6,1.0000
torment,4,8,2.0000
fickleness,1,3,3.0000
nobody,20,20,1.0000
copying,1,2,2.0000
seven,12,36,3.0000
relent,2,2,1.0000
quartermaster,1,2,2.0000
sisters,75,75,1.0000
coffin,1,2,2.0000
chuckle,1,1,1.0000
knight,15,15,1.0000
engineering,1,2,2.0000
wheres,8,8,1.0000
submissive,5,10,2.0000
gangway,1,3,3.0000
irish,5,5,1.0000
sips,2,2,1.0000
anxieties,1,1,1.0000
bumped,2,2,1.0000
psalms,1,1,1.0000
owe,7,7,1.0000
someone,23,23,1.0000
sir:,1,2,2.0000
elector,1,3,3.0000
hunting,2,2,1.0000
thundercloud,1,2,2.0000
billiard,2,2,1.0000
hairs,1,2,2.0000
own,183,183,1.0000
softly,29,29,1.0000
stupidity,1,2,2.0000
bookcase,2,6,3.0000
headdress,1,4,4.0000
moods,3,3,1.0000
overlooked,1,1,1.0000
cutting,3,3,1.0000
moody,9,9,1.0000
rubbers,6,6,1.0000
seals,1,1,1.0000
partaken,1,2,2.0000
jumble,2,2,1.0000
carpeting,1,2,2.0000
connected,1,3,3.0000
orphan,1,1,1.0000
lounging,6,6,1.0000
visited,1,1,1.0000
wickedly,1,2,2.0000
frolicking,2,6,3.0000
needing,1,1,1.0000
looped,2,2,1.0000
branch,2,2,1.0000
intervals,1,2,2.0000
bachelor,2,6,3.0000
italian,6,6,1.0000
shouldered,3,3,1.0000
samuel,1,1,1.0000
causes,1,1,1.0000
companionship,1,1,1.0000
sire,3,3,1.0000
clustered,1,2,2.0000
agrees,2,6,3.0000
pursed,1,1,1.0000
ecstatically,1,1,1.0000
relented,2,2,1.0000
brother,9,9,1.0000
sports,1,1,1.0000
agricultural,1,2,2.0000
theaters,5,5,1.0000
truly,26,26,1.0000
closet,17,34,2.0000
seams,1,1,1.0000
caused,21,42,2.0000
stock,3,3,1.0000
expatiating,1,2,2.0000
closer,1,3,3.0000
unfold,1,4,4.0000
agreed,15,15,1.0000
glove,12,12,1.0000
earthly,3,6,2.0000
guidebook,4,4,1.0000
especial,11,11,1.0000
groups,2,4,2.0000
afore,1,1,1.0000
inaudible,2,4,2.0000
infinitely,3,3,1.0000
governesses,1,1,1.0000
mendelssohn,1,2,2.0000
comelier,1,1,1.0000
closed,7,7,1.0000
meanness,1,2,2.0000
tisnt,2,6,3.0000
carrol,16,16,1.0000
vocal,1,2,2.0000
respect,28,28,1.0000
cages,1,1,1.0000
coquettish,3,3,1.0000
trump,5,5,1.0000
summary,2,4,2.0000
draggle,1,1,1.0000
spangles,1,1,1.0000
integrity,2,4,2.0000
inaudibly,1,1,1.0000
politics,5,10,2.0000
assured,5,5,1.0000
resolution,10,10,1.0000
importance,1,2,2.0000
vengeance,1,3,3.0000
cabinets,1,1,1.0000
retaliation,1,1,1.0000
prepare,5,5,1.0000
turtles,2,4,2.0000
serenely,1,3,3.0000
carried,19,19,1.0000
sneaking,1,1,1.0000
pilgrims,10,10,1.0000
neighborly,4,8,2.0000
swell,1,1,1.0000
bounce),1,2,2.0000
learns,1,3,3.0000
autocrat,1,4,4.0000
star,2,2,1.0000
inquire,4,4,1.0000
endure,1,2,2.0000
persuade,1,3,3.0000
trunk,5,5,1.0000
wouldst,1,1,1.0000
except,39,39,1.0000
intelligent,3,6,2.0000
emotions,4,4,1.0000
stay,64,64,1.0000
carries,1,2,2.0000
coughed,1,3,3.0000
end,56,56,1.0000
escorted,3,6,2.0000
hushing,1,1,1.0000
elephantine,1,1,1.0000
musicians,1,1,1.0000
repaying,1,1,1.0000
coffee,19,19,1.0000
sits,3,3,1.0000
inquiry,5,5,1.0000
tedious,1,1,1.0000
ladyship,3,3,1.0000
estimation,1,1,1.0000
defrauded,1,1,1.0000
literal,2,2,1.0000
ring,26,26,1.0000
clawing,1,1,1.0000
emptying,1,1,1.0000
vivacity,1,1,1.0000
ground,9,18,2.0000
cunning,2,2,1.0000
pasteboard,1,1,1.0000
piques,2,2,1.0000
vanities,4,4,1.0000
content,14,14,1.0000
lonely,27,54,2.0000
hated,6,6,1.0000
biting,1,1,1.0000
bounced,4,4,1.0000
utmost,1,1,1.0000
firelight,2,2,1.0000
crocker,8,8,1.0000
complacently,3,3,1.0000
benefit,6,6,1.0000
hates,6,12,2.0000
bouncer,1,1,1.0000
altogether,29,29,1.0000
muffs,1,2,2.0000
riot,1,1,1.0000
meaning,12,12,1.0000
counted,1,1,1.0000
dusting,2,2,1.0000
monsieur,4,8,2.0000
harrrow,1,1,1.0000
pensive,11,11,1.0000
learned,36,36,1.0000
equipages,1,1,1.0000
light,49,49,1.0000
active,5,5,1.0000
thermometer,1,2,2.0000
hinting,2,2,1.0000
parian,1,2,2.0000
ripe,3,3,1.0000
counter,1,2,2.0000
dignified,8,8,1.0000
congratulation,1,1,1.0000
sweetly,4,4,1.0000
beams,2,2,1.0000
constantine,1,2,2.0000
submission,2,6,3.0000
involuntary,2,2,1.0000
chattering,1,1,1.0000
bouquets,9,9,1.0000
theyve,1,1,1.0000
uplift,2,2,1.0000
noahs,1,1,1.0000
hustled,1,1,1.0000
caressing,1,1,1.0000
performed,3,3,1.0000
pick,10,10,1.0000
speculative,1,1,1.0000
cradle,2,2,1.0000
dogged,1,1,1.0000
resolutions,3,3,1.0000
refrain,6,12,2.0000
belladonna,2,2,1.0000
bandbox,2,2,1.0000
overhung,1,2,2.0000
resources,1,1,1.0000
step,15,15,1.0000
internal,1,1,1.0000
mandarin,1,1,1.0000
disapproval,3,3,1.0000
ashes,1,1,1.0000
swept,8,8,1.0000
project,2,2,1.0000
evolutions,1,1,1.0000
aggravated,3,6,2.0000
congratulating,3,9,3.0000
images,1,4,4.0000
sickroom,1,1,1.0000
softer,1,2,2.0000
mortifies,1,1,1.0000
soften,1,1,1.0000
solacement,1,1,1.0000
dance,24,24,1.0000
mountain,4,8,2.0000
aromatic,1,1,1.0000
prone,2,4,2.0000
err,1,1,1.0000
wednesday,1,1,1.0000
mortified,2,2,1.0000
grasshopper,2,2,1.0000
marketing,1,2,2.0000
unapproachable,1,1,1.0000
sakes,2,4,2.0000
assurance,2,2,1.0000
recovering,2,2,1.0000
disappearing,1,1,1.0000
unlucky,3,3,1.0000
frenchy,1,2,2.0000
flies,1,3,3.0000
bother,6,6,1.0000
counsels,2,4,2.0000
suggested,16,16,1.0000
natral,1,1,1.0000
mince,1,2,2.0000
closing,2,2,1.0000
grandson,7,7,1.0000
dessert,1,2,2.0000
thanks,24,24,1.0000
missionarys,1,2,2.0000
trust,12,12,1.0000
extinguished,1,1,1.0000
reluctantly,7,14,2.0000
floury,1,1,1.0000
songs,9,9,1.0000
seats,4,8,2.0000
scribblers,1,1,1.0000
daviss,1,1,1.0000
antique,6,6,1.0000
detested,2,2,1.0000
stones,2,4,2.0000
roared,2,2,1.0000
proof,2,2,1.0000
bible,1,2,2.0000
whippersnappers),1,3,3.0000
cuddle,1,1,1.0000
unusually,21,21,1.0000
artful,5,10,2.0000
pies,4,4,1.0000
receipt,2,2,1.0000
raised,1,2,2.0000
rise,10,10,1.0000
repeating,3,6,2.0000
counters,1,3,3.0000
truth,27,27,1.0000
novel,10,10,1.0000
prettily,9,9,1.0000
pan,6,12,2.0000
apathy,1,3,3.0000
engage,1,1,1.0000
risk,2,4,2.0000
size,2,2,1.0000
par,1,2,2.0000
billiards,2,2,1.0000
pat,7,7,1.0000
talked,35,35,1.0000
paw,1,1,1.0000
dandy,2,4,2.0000
murdered,1,3,3.0000
pay,32,32,1.0000
kernels,1,1,1.0000
family,98,98,1.0000
zigzagging,1,1,1.0000
quarreled,2,4,2.0000
villa,2,2,1.0000
angel,12,12,1.0000
minds,12,24,2.0000
wanting,5,5,1.0000
freedmen,1,2,2.0000
british,5,5,1.0000
social,7,14,2.0000
borrowed,6,6,1.0000
example,11,11,1.0000
kindnesses,2,2,1.0000
anger,14,28,2.0000
rite,2,2,1.0000
jaunty,1,1,1.0000
offer,24,24,1.0000
thick,12,12,1.0000
seized,7,7,1.0000
beautiful,50,50,1.0000
reverses,1,2,2.0000
rosebuds,1,3,3.0000
murillo,1,1,1.0000
fiercely,2,2,1.0000
dashwoodss,1,2,2.0000
moons,1,1,1.0000
luxuriously,4,4,1.0000
handing,3,6,2.0000
elbow,1,3,3.0000
stronger,4,4,1.0000
theyre,1,1,1.0000
nothin,2,2,1.0000
stole,3,3,1.0000
scrambled,4,8,2.0000
complained,4,4,1.0000
cymbal,1,1,1.0000
virtuously,2,4,2.0000
grecian,2,2,1.0000
suspension,1,2,2.0000
reversed,1,1,1.0000
tempting,2,4,2.0000
whispered,32,32,1.0000
personable,1,2,2.0000
beard,6,6,1.0000
genoa,1,1,1.0000
recover,9,9,1.0000
clutching,2,2,1.0000
pigs,2,4,2.0000
impulse,6,18,3.0000
tomato,1,1,1.0000
establishment,4,4,1.0000
stir,9,9,1.0000
remove,1,1,1.0000
finished,24,24,1.0000
hammock,3,6,2.0000
wiser,3,9,3.0000
bears,8,8,1.0000
bones,2,4,2.0000
imperious,2,2,1.0000
eve,5,5,1.0000
offended,13,13,1.0000
rebellious,4,4,1.0000
nowhere,2,4,2.0000
despond,2,2,1.0000
blushy,1,2,2.0000
devout,1,3,3.0000
crying,27,27,1.0000
devour,1,1,1.0000
consent,6,6,1.0000
remembered,25,25,1.0000
loses,2,2,1.0000
hatbrim,2,2,1.0000
prefer,7,7,1.0000
piling,1,1,1.0000
penwipers,1,2,2.0000
benignant,3,3,1.0000
hannahs,10,10,1.0000
refreshment,6,6,1.0000
arranged,12,12,1.0000
suddenly,48,96,2.0000
confidential,6,18,3.0000
inmates,1,1,1.0000
invited,12,12,1.0000
baked,2,4,2.0000
pirouettes,1,1,1.0000
costumes,4,4,1.0000
cardiglias,1,2,2.0000
touch,15,15,1.0000
steal,3,6,2.0000
beast,2,6,3.0000
steam,2,2,1.0000
mirror,5,5,1.0000
pension,1,1,1.0000
stone,15,15,1.0000
angelic,3,6,2.0000
palette,2,6,3.0000
spelling,1,1,1.0000
passenger,1,2,2.0000
substitutes,1,1,1.0000
baker,1,1,1.0000
illustrating,1,1,1.0000
action,2,4,2.0000
riding,8,8,1.0000
difficulty,7,14,2.0000
document,2,6,3.0000
poplins,1,1,1.0000
muslins,1,2,2.0000
impossibilities,1,3,3.0000
dreaminess,1,4,4.0000
propitious,3,3,1.0000
scuppers,1,1,1.0000
resartus,1,2,2.0000
prose,1,3,3.0000
compared,4,4,1.0000
ordeal,1,2,2.0000
chaise,1,3,3.0000
peg,1,1,1.0000
devote,5,5,1.0000
afar,3,3,1.0000
markets,1,1,1.0000
flattered,8,8,1.0000
pen,14,28,2.0000
terror,3,3,1.0000
champagne,2,4,2.0000
responded,1,3,3.0000
frothy,1,1,1.0000
pet,20,20,1.0000
posted,1,1,1.0000
chairs,9,9,1.0000
hastened,2,4,2.0000
classic,1,3,3.0000
washing,7,7,1.0000
stood,85,170,2.0000
sweeter,7,21,3.0000
prosy,1,4,4.0000
clutch,2,10,5.0000
breathe,2,2,1.0000
bridegrooms,1,2,2.0000
unknown,3,3,1.0000
drinking,2,4,2.0000
intensely,2,2,1.0000
directing,1,2,2.0000
madames,1,1,1.0000
stool,4,4,1.0000
careful,10,10,1.0000
infants,3,3,1.0000
pupil,5,5,1.0000
procured,1,2,2.0000
vevay,6,6,1.0000
hatchet,1,2,2.0000
stoop,3,9,3.0000
trotted,2,2,1.0000
adopt,2,4,2.0000
acting,3,9,3.0000
illustration,2,8,4.0000
worshipers,1,5,5.0000
breaths,1,1,1.0000
approving,10,10,1.0000
dotted,1,2,2.0000
flowerpot,1,3,3.0000
bewildered,10,10,1.0000
maiden,7,7,1.0000
rogue,1,1,1.0000
(not,2,2,1.0000
waistcoats,1,1,1.0000
business,28,28,1.0000
headed,5,5,1.0000
eye,34,68,2.0000
receive,15,15,1.0000
silenced,1,2,2.0000
households,1,1,1.0000
nutting,1,1,1.0000
attire,1,2,2.0000
inspiration,7,7,1.0000
gondola,2,4,2.0000
disposition,1,1,1.0000
cabinet,2,2,1.0000
manuscript,8,8,1.0000
proud,43,43,1.0000
chick,3,6,2.0000
exceed,1,3,3.0000
beasts,2,8,4.0000
rocking,6,6,1.0000
unfortunately,8,8,1.0000
stops,3,3,1.0000
league,1,2,2.0000
neatness,1,3,3.0000
mabel,1,1,1.0000
snoods,1,1,1.0000
drifting,2,2,1.0000
wanderers,2,4,2.0000
transported,1,1,1.0000
acknowledgement,1,1,1.0000
rigging,1,1,1.0000
aboard,2,4,2.0000
staggered,2,2,1.0000
grievance,1,1,1.0000
adore,3,3,1.0000
grandchild,1,1,1.0000
pile,7,7,1.0000
unbecoming,1,1,1.0000
james,4,4,1.0000
smashed,3,3,1.0000
byplay,1,2,2.0000
refreshed,2,2,1.0000
shopping,10,10,1.0000
precisely,1,2,2.0000
latest,4,4,1.0000
descended,2,4,2.0000
confusion,7,7,1.0000
wages,2,2,1.0000
prove,9,9,1.0000
bluggage,1,2,2.0000
poring,1,1,1.0000
feasting,1,2,2.0000
everything,87,87,1.0000
tares,2,4,2.0000
calling,14,14,1.0000
scant,1,1,1.0000
attacked,1,2,2.0000
theyll,7,7,1.0000
tough,1,1,1.0000
renounced,2,4,2.0000
killing,2,2,1.0000
prettier,7,7,1.0000
steep,1,1,1.0000
criticism,3,6,2.0000
humiliation,1,1,1.0000
store,6,12,2.0000
brusque,2,2,1.0000
homer,1,2,2.0000
homes,5,5,1.0000
reflected,3,6,2.0000
chief,12,12,1.0000
retreating,1,2,2.0000
wondering,20,20,1.0000
pedals,1,2,2.0000
stork,1,3,3.0000
storm,8,8,1.0000
homey,1,1,1.0000
pleasuring,1,2,2.0000
chrysanthemums,2,2,1.0000
pie,4,4,1.0000
fling,3,6,2.0000
overnight,1,3,3.0000
management,5,5,1.0000
pig,2,2,1.0000
couch,2,4,2.0000
founded,1,1,1.0000
stop,41,41,1.0000
commended,1,2,2.0000
pyramids,1,1,1.0000
dearies,2,2,1.0000
story,68,136,2.0000
pin,5,15,3.0000
grandfathers,7,28,4.0000
trace,2,10,5.0000
pip,8,8,1.0000
turvey,1,2,2.0000
junoesque,1,3,3.0000
shouted,2,2,1.0000
coaches,1,2,2.0000
kenilworth,1,1,1.0000
unrequited,1,1,1.0000
effigy,1,2,2.0000
exultation,1,1,1.0000
chains,4,4,1.0000
blushing,4,8,2.0000
beforehand,3,9,3.0000
pine,1,1,1.0000
broad,7,7,1.0000
burning,7,7,1.0000
strongly,4,4,1.0000
pink,13,13,1.0000
violently,3,3,1.0000
tracy,1,1,1.0000
bachelorhood,1,1,1.0000
righted,1,1,1.0000
impetuositys,1,1,1.0000
pins,8,8,1.0000
cabbages,1,2,2.0000
pint,1,1,1.0000
piminy,1,1,1.0000
shames,1,1,1.0000
persons,10,10,1.0000
pointing,4,8,2.0000
shadows,2,2,1.0000
evelyn,1,2,2.0000
dictionaries,1,1,1.0000
developed,2,4,2.0000
gloves,29,29,1.0000
recollect,1,1,1.0000
shadowy,3,3,1.0000
croaked,3,6,2.0000
serpent,1,1,1.0000
undecided,6,6,1.0000
languid,1,1,1.0000
proxy,2,4,2.0000
conflagration,1,1,1.0000
receiving,3,3,1.0000
blooming,2,2,1.0000
pitcher,2,2,1.0000
april,3,3,1.0000
croaker,1,1,1.0000
shining,10,10,1.0000
hampers,1,1,1.0000
spanish,1,1,1.0000
devices,6,6,1.0000
columns,2,4,2.0000
caroline,1,1,1.0000
schoolgirl,1,1,1.0000
pitched,2,2,1.0000
sells,1,2,2.0000
reproachfully,3,3,1.0000
yielded,3,3,1.0000
minna,4,4,1.0000
country,11,11,1.0000
dining,6,6,1.0000
prescribed,1,2,2.0000
cotillion,1,3,3.0000
greeted,4,4,1.0000
portfolio,5,10,2.0000
pierce,1,3,3.0000
